country,capital,capital_latitude,capital_longitude,population,area
Isle of Man,Douglas,54.15,-4.48,84530,572.0
Svalbard and Jan Mayen,Longyearbyen,78.22,15.63,2530,61399.0
Denmark,Copenhagen,55.67,12.58,6011488,43094.0
Kosovo,Pristina,42.67,21.17,1585566,10908.0
Portugal,Lisbon,38.72,-9.13,10749635,92090.0
United Kingdom,London,51.5,-0.08,69281437,244376.0
Jersey,Saint Helier,49.18,-2.1,103267,116.0
Lithuania,Vilnius,54.68,25.32,2894886,65300.0
Liechtenstein,Vaduz,47.13,9.52,40900,160.0
Bosnia and Herzegovina,Sarajevo,43.87,18.42,3422000,51209.0
Ukraine,Kyiv,50.43,30.52,32862000,603550.0
France,Paris,48.87,2.33,66351959,543908.0
Estonia,Tallinn,59.43,24.72,1369995,45227.0
Croatia,Zagreb,45.8,16.0,3866233,56594.0
Norway,Oslo,59.92,10.75,5606944,386224.0
North Macedonia,Skopje,42.0,21.43,1822612,25713.0
Montenegro,Podgorica,42.43,19.27,623327,13812.0
Belgium,Brussels,50.83,4.33,11825551,30528.0
Vatican City,Vatican City,41.9,12.45,882,0.49
Italy,Rome,41.9,12.48,58927633,301336.0
Luxembourg,Luxembourg,49.6,6.12,681973,2586.0
Guernsey,St. Peter Port,49.45,-2.54,64781,78.0
Andorra,Andorra la Vella,42.5,1.52,88406,468.0
Albania,Tirana,41.32,19.82,2363314,28748.0
Gibraltar,Gibraltar,36.13,-5.35,38000,6.0
Switzerland,Bern,46.92,7.47,9082848,41284.0
Monaco,Monaco,43.73,7.42,38423,2.02
Hungary,Budapest,47.5,19.08,9539502,93028.0
Slovenia,Ljubljana,46.05,14.52,2130638,20273.0
San Marino,City of San Marino,43.94,12.45,34132,61.0
Romania,Bucharest,44.43,26.1,19036031,238391.0
Netherlands,Amsterdam,52.35,4.92,18100436,41865.0
Finland,Helsinki,60.17,24.93,5650325,338455.0
Ireland,Dublin,53.32,-6.23,5458600,70273.0
Serbia,Belgrade,44.83,20.5,6567783,77589.0
Czechia,Prague,50.08,14.47,10882341,78865.0
Poland,Warsaw,52.25,21.0,37392000,312679.0
Faroe Islands,Tórshavn,62.01,-6.77,54885,1393.0
Moldova,Chișinău,47.01,28.9,2749076,33847.0
Russia,Moscow,55.75,37.6,146028325,17098246.0
Greece,Athens,37.98,23.73,10400720,131990.0
Belarus,Minsk,53.9,27.57,9109280,207600.0
Cyprus,Nicosia,35.17,33.37,1442614,9251.0
Sweden,Stockholm,59.33,18.05,10605098,450295.0
Spain,Madrid,40.4,-3.68,49315949,505992.0
Germany,Berlin,52.52,13.4,83491249,357114.0
Iceland,Reykjavik,64.15,-21.95,391810,103000.0
Åland Islands,Mariehamn,60.12,19.9,30654,1580.0
Slovakia,Bratislava,48.15,17.12,5413813,49037.0
Malta,Valletta,35.88,14.5,574250,316.0
Austria,Vienna,48.2,16.37,9200931,83871.0
Latvia,Riga,56.95,24.1,1829000,64559.0
Bulgaria,Sofia,42.68,23.32,6437360,110879.0
