country,capital,avg_temperature_2m_max
Portugal,Lisbon,18.283333333333335
Cyprus,Nicosia,17.84
Montenegro,Podgorica,17.026666666666667
Malta,Valletta,16.57
Italy,Rome,16.563333333333333
Vatican City,Vatican City,16.563333333333333
Monaco,Monaco,16.2
Albania,Tirana,16.096666666666668
Spain,Madrid,15.770000000000001
Greece,Athens,15.7
Gibraltar,Gibraltar,15.59
Serbia,Belgrade,14.456666666666667
North Macedonia,Skopje,14.26
Hungary,Budapest,14.223333333333333
France,Paris,14.186666666666667
Croatia,Zagreb,13.946666666666667
Slovakia,Bratislava,13.53
Slovenia,Ljubljana,13.520000000000001
Poland,Warsaw,13.360000000000001
Belgium,Brussels,13.043333333333333
Austria,Vienna,12.973333333333333
Andorra,Andorra la Vella,12.846666666666666
Moldova,Chișinău,12.66
United Kingdom,London,12.526666666666667
Jersey,Saint Helier,12.483333333333333
Kosovo,Pristina,12.383333333333333
Germany,Berlin,12.17
Netherlands,Amsterdam,12.046666666666665
Bulgaria,Sofia,12.020000000000001
Liechtenstein,Vaduz,12.003333333333334
Romania,Bucharest,11.873333333333333
Luxembourg,Luxembourg,11.823333333333332
San Marino,City of San Marino,11.773333333333333
Czechia,Prague,11.74
Bosnia and Herzegovina,Sarajevo,11.443333333333333
Ireland,Dublin,11.233333333333333
Guernsey,St. Peter Port,11.08
Lithuania,Vilnius,11.003333333333334
Switzerland,Bern,10.76
Ukraine,Kyiv,10.466666666666667
Latvia,Riga,9.506666666666666
Belarus,Minsk,9.496666666666666
Isle of Man,Douglas,9.466666666666667
Estonia,Tallinn,8.133333333333333
Sweden,Stockholm,8.116666666666667
Denmark,Copenhagen,7.476666666666666
Norway,Oslo,6.9766666666666675
Faroe Islands,Tórshavn,6.683333333333334
Åland Islands,Mariehamn,6.043333333333334
Russia,Moscow,5.753333333333333
Finland,Helsinki,4.236666666666666
Iceland,Reykjavik,2.3133333333333335
Svalbard and Jan Mayen,Longyearbyen,-6.596666666666667
