country,capital,total_precipitation_sum
Faroe Islands,Tórshavn,274.1
Iceland,Reykjavik,199.1
Isle of Man,Douglas,118.3
Bosnia and Herzegovina,Sarajevo,114.0
Gibraltar,Gibraltar,114.0
Liechtenstein,Vaduz,105.1
San Marino,City of San Marino,103.19999999999999
Cyprus,Nicosia,99.1
Monaco,Monaco,94.60000000000001
Ireland,Dublin,93.4
Norway,Oslo,79.6
Croatia,Zagreb,76.7
Switzerland,Bern,64.8
Serbia,Belgrade,61.0
Portugal,Lisbon,60.5
Montenegro,Podgorica,59.3
Netherlands,Amsterdam,56.5
France,Paris,56.199999999999996
Belgium,Brussels,52.099999999999994
Romania,Bucharest,51.7
Spain,Madrid,50.5
Andorra,Andorra la Vella,50.300000000000004
Vatican City,Vatican City,50.2
Italy,Rome,50.2
Jersey,Saint Helier,47.9
Luxembourg,Luxembourg,47.300000000000004
Malta,Valletta,46.9
Albania,Tirana,46.9
Hungary,Budapest,43.1
Slovenia,Ljubljana,42.0
Denmark,Copenhagen,41.3
Sweden,Stockholm,35.699999999999996
Åland Islands,Mariehamn,34.7
Guernsey,St. Peter Port,31.4
Slovakia,Bratislava,30.700000000000003
Austria,Vienna,27.900000000000002
Kosovo,Pristina,27.5
Latvia,Riga,26.3
North Macedonia,Skopje,24.4
United Kingdom,London,23.3
Greece,Athens,20.2
Bulgaria,Sofia,19.3
Svalbard and Jan Mayen,Longyearbyen,19.0
Germany,Berlin,17.5
Moldova,Chișinău,16.9
Russia,Moscow,15.5
Czechia,Prague,15.3
Finland,Helsinki,13.5
Estonia,Tallinn,11.7
Poland,Warsaw,7.8
Lithuania,Vilnius,4.7
Ukraine,Kyiv,2.4
Belarus,Minsk,2.1
